"","BirthYear","DeathYear","age"
"1",1900,1957,57
"2",1900,1984,84
"3",1900,1981,81
"4",1900,1963,63
"5",1900,1996,96
"6",1900,1962,62
"7",1900,1970,70
"8",1900,1975,75
"9",1900,1973,73
"10",1900,1996,96
"11",1900,1981,81
"12",1900,1970,70
"13",1900,1981,81
"14",1900,1997,97
"15",1900,1963,63
"16",1900,1964,64
"17",1900,1955,55
"18",1900,1967,67
"19",1900,1991,91
"20",1900,1960,60
"21",1900,1988,88
"22",1900,1975,75
"23",1900,1977,77
"24",1900,1934,34
"25",1900,1969,69
"26",1900,1970,70
"27",1900,1970,70
"28",1900,1952,52
"29",1900,1968,68
"30",1900,1977,77
"31",1900,1987,87
"32",1900,1993,93
"33",1900,1954,54
"34",1900,1943,43
"35",1900,1956,56
"36",1900,1988,88
"37",1900,1975,75
"38",1900,1964,64
"39",1900,1941,41
"40",1900,1945,45
"41",1900,1990,90
"42",1900,1938,38
"43",1900,1972,72
"44",1900,1995,95
"45",1900,1987,87
"46",1900,1958,58
"47",1900,1977,77
"48",1900,1975,75
"49",1900,1970,70
"50",1900,1972,72
"51",1900,1982,82
"52",1900,1985,85
"53",1900,1963,63
"54",1900,1966,66
"55",1900,1981,81
"56",1900,1916,16
"57",1900,1989,89
"58",1900,1948,48
"59",1900,1957,57
"60",1900,1969,69
"61",1900,1963,63
"62",1900,2000,100
"63",1900,1990,90
"64",1900,1966,66
"65",1900,1961,61
"66",1900,1984,84
"67",1900,1935,35
"68",1900,1986,86
"69",1900,1979,79
"70",1900,1970,70
"71",1900,1965,65
"72",1900,1982,82
"73",1900,1985,85
"74",1900,1966,66
"75",1900,1987,87
"76",1900,1984,84
"77",1900,1983,83
"78",1900,1990,90
"79",1900,1986,86
"80",1900,1984,84
"81",1900,1983,83
"82",1900,1975,75
"83",1900,1979,79
"84",1900,1956,56
"85",1900,1977,77
"86",1900,1967,67
"87",1900,1991,91
"88",1900,1993,93
"89",1900,1993,93
"90",1900,1994,94
"91",1900,1984,84
"92",1900,1987,87
"93",1900,1929,29
"94",1900,1978,78
"95",1900,1982,82
"96",1900,1968,68
"97",1900,1973,73
"98",1900,1966,66
"99",1900,1971,71
"100",1900,1965,65
"101",1900,1940,40
"102",1900,1984,84
"103",1900,1970,70
"104",1900,1944,44
"105",1900,1974,74
"106",1900,1986,86
"107",1900,1967,67
"108",1900,1987,87
"109",1900,1973,73
"110",1900,1968,68
"111",1900,1951,51
"112",1900,1972,72
"113",1900,1967,67
"114",1900,1986,86
"115",1900,1943,43
"116",1900,1969,69
"117",1900,1962,62
"118",1900,1996,96
"119",1900,1969,69
"120",1900,1960,60
"121",1900,1999,99
"122",1900,1976,76
"123",1900,1989,89
"124",1900,1980,80
"125",1900,1972,72
"126",1900,1967,67
"127",1900,1989,89
"128",1900,1994,94
"129",1900,1964,64
"130",1900,1981,81
"131",1900,1998,98
"132",1900,1980,80
"133",1900,1972,72
"134",1900,1990,90
"135",1900,1969,69
"136",1900,1969,69
"137",1900,1975,75
"138",1900,1985,85
"139",1900,1980,80
"140",1900,1975,75
"141",1900,2008,108
