"BirthYear","DeathYear","Description"
"1823","1989","American baseball player"
"1831","1900","English footballer"
"1831","1900","Major League Baseball player"
"1832","1885","American baseball player"
"1835","1895","Major League Baseball player manager"
"1836","1908","American baseball player"
"1838","1896","Professional baseball player"
"1838","1911","American baseball manager"
"1839","1912","American baseball player"
"1839","1901","American baseball player"
"1840","1925","American baseball player"
"1840","1928","Professional baseball player"
"1840","1901","American baseball player"
"1840","1885","Major League Baseball player"
"1840","1897","American baseball player"
"1840","1907","Major League Baseball players"
"1841","1888","Professional baseball player"
"1841","1901","Major League Baseball player"
"1841","1862","baseball player"
"1841","1922","Professional baseball player"
"1842","1915","Major League Baseball player"
"1842","1917","Professional baseball player"
"1842","1895","Major League Baseball left fielder"
"1842","1927","Major League Baseball player"
"1842","1904","American baseball player"
"1842","1905","Major League Baseball manager"
"1842","1907","Cricketer and football administrator"
"1842","1927","Major League Baseball player"
"1842","1897","Irish footballer"
"1843","1916","Major League Baseball player Manager"
"1843","1922","Major League Baseball player"
"1844","1932","Irish footballer"
"1844","1908","Major League Baseball first baseman"
"1844","1913","American baseball player"
"1844","1928","American baseball player"
"1844","1893","Major League Baseball player"
"1844","1905","Major League Baseball pitcher"
"1844","1914","American baseball player"
"1844","1901","Major League Baseball player manager"
"1844","1925","American baseball player"
"1844","1905","Major League Baseball player"
"1844","1922","Professional baseball player"
"1844","1874","American baseball player"
"1844","1912","Major League Baseball player"
"1844","1890","Major League Baseball player"
"1845","1899","Major League Baseball player manager"
"1845","1916","American baseball manager"
"1845","1878","American baseball player"
"1845","1901","Major League Baseball player Manager"
"1845","1933","Major League Baseball player"
"1845","1908","Major League Baseball player"
"1845","1872","American baseball player"
"1845","1907","Major League Baseball player"
"1845","1910","Major League Baseball player manager"
"1845","1910","Major League Baseball player manager"
"1845","1894","Major League Baseball player manager umpire executive"
"1845","1876","Major League Baseball player"
"1845","1901","Major League Baseball manager"
"1845","1895","Major League Baseball manager"
"1845","1921","Major League Baseball player"
"1845","1893","Major League Baseball player manager"
"1845","1920","American baseball player"
"1845","1883","Major League Baseball Manager"
"1845","1905","American baseball player"
"1845","1879","Major League Baseball player"
"1846","1906","Major League Baseball player manager"
"1846","1881","American baseball player"
"1846","1916","Major League Baseball player"
"1846","1925","Major League Baseball player Manager"
"1846","1935","Major League Baseball third baseman"
"1846","1882","American baseball player"
"1846","1918","Major League Baseball manager"
"1846","1903","American baseball player and manager"
"1846","1921","American Major League Baseball manager"
"1846","1881","Major League Baseball player"
"1846","1913","Major League Baseball player Manager"
"1847","1896","Professional baseball player"
"1847","1886","Major League Baseball outfielder"
"1847","1876","American baseball player"
"1847","1916","Major League Baseball player"
"1847","1914","American baseball player"
"1847","1909","Professional baseball player"
"1847","1944","American baseball player"
"1847","1912","American baseball player"
"1847","1911","Major League Baseball"
"1847","1915","American baseball player"
"1847","1937","Professional baseball player"
"1847","1939","American baseball player and manager"
"1847","1923","American baseball player"
"1847","1937","Major League Baseball player manager; Cricket player"
"1847","1914","English footballer"
"1847","1925","American baseball manager"
"1847","1922","American baseball player"
"1847","1918","Major League Baseball manager"
"1847","1917","Major League Baseball player"
"1847","1908","Major League Baseball player"
"1847","1907","Major League Baseball player"
"1847","1903","Professional baseball player"
"1848","1909","Professional baseball player"
"1848","1900","American baseball manager and executive"
"1848","1898","American baseball player"
"1848","1918","American baseball player"
"1848","1888","American baseball player"
"1848","1928","Professional baseball player"
"1848","1921","Major League Baseball player"
"1848","1915","Professional baseball player"
"1848","1910","American baseball player"
"1848","1928","Major League Baseball player"
"1848","1921","American baseball player"
"1848","1897","American baseball player"
"1848","1900","American baseball player"
"1848","1875","Major League Baseball player"
"1848","1904","American baseball player"
"1848","1928","Major League Baseball player"
"1848","1924","American baseball player"
"1848","1924","English footballer"
"1848","1911","Professional baseball player"
"1849","1872","American baseball player"
"1849","1933","Professional baseball player"
"1849","1890","Major League Baseball player"
"1849","1932","Major League Baseball player"
"1849","1920","Scottish footballer"
"1849","1911","Major League Baseball player"
"1849","1881","American baseball player"
"1849","1916","Major League Baseball player"
"1849","1905","Professional baseball player"
"1849","1898","English footballer"
"1849","1872","Major League Baseball player"
"1849","1888","American baseball player"
"1849","1907","Major League Baseball player"
"1849","1902","Major League Baseball center fielder"
"1849","1918","Early Major League Baseball player"
"1849","1923","American baseball player"
"1849","1896","Major League Baseball outfielder"
"1849","1893","American baseball player"
"1849","1911","Major League Baseball player manager"
"1849","1926","American baseball player"
"1849","1945","English footballer and manager"
"1849","1883","American baseball player"
"1849","1895","Major League Baseball player"
"1849","1879","Major League Baseball player"
"1849","1929","American baseball player"
"1849","1930","Professional baseball player"
"1849","1910","Major League Baseball player"
"1849","1881","Professional baseball player"
"1849","1922","American baseball player"
"1849","1911","Major League Baseball player"
"1850","1876","Major League Baseball player"
"1850","1937","Major League Baseball player"
"1850","1882","American baseball player"
"1850","1892","Professional baseball player"
"1850","1915","Major League Baseball player"
"1850","1926","American baseball player"
"1850","1917","American baseball player"
"1850","1929","Major League Baseball Umpire Manager"
"1850","1936","Major League Baseball player"
"1850","1915","Major League Baseball player"
"1850","1897","Major League Baseball player"
"1850","1927","American baseball player"
"1850","1910","Association football player"
"1850","1891","Major League Baseball player"
"1850","1888","Baseball player"
"1850","1893","English/Welsh footballer"
"1850","1925","English footballer"
"1850","1915","American baseball player"
"1850","1921","American baseball player"
"1850","1940","American Major League Baseball player"
"1850","1910","Professional baseball player"
"1850","1910","American baseball player"
"1850","1887","Professional baseball player"
"1850","1933","American baseball player"
"1850","1908","American baseball player"
"1850","1921","Major League Baseball player"
"1850","1918","Major League Baseball player"
"1850","1919","Major League Baseball player manager"
"1850","1888","American baseball player"
"1850","1881","Major League Baseball player"
"1850","1898","Major League Baseball player"
"1850","1911","American baseball player"
"1850","1909","Baseball manager"
"1850","1906","Major League Baseball player"
"1850","1917","English footballer"
"1850","1898","American baseball player"
"1850","1890","English footballer"
"1850","1873","Major League Baseball player"
"1850","1924","Major League Baseball player"
"1850","1924","American baseball player"
"1851","1917","American baseball player sportswriter"
"1851","1923","Footballer"
"1851","1941","American baseball player"
"1851","1910","American baseball player"
"1851","1888","American baseball player"
"1851","1905","Major League Baseball player"
"1851","1881","American baseball player"
"1851","1929","Major League Baseball player"
"1851","1927","American baseball player"
"1851","1917","American baseball player"
"1851","1924","American baseball player"
"1851","1918","American baseball player"
"1851","1904","American baseball player"
"1851","1889","Major League Baseball player"
"1851","1888","Scottish footballer"
"1851","1922","Major League Baseball outfielder"
"1851","1881","Major League Baseball player"
"1851","1939","English footballer"
"1851","1929","Major League Baseball player Manager"
"1851","1886","American baseball player"
"1851","1904","American baseball player"
"1851","1890","American baseball player"
"1851","1899","American baseball player"
"1851","1898","Major League Baseball player umpire"
"1851","1888","American professional baseball player"
"1851","1939","American baseball player"
"1851","1902","American baseball player"
"1851","1910","American baseball player"
"1851","1940","Major League Baseball player"
"1851","1914","American baseball player"
"1851","1920","American baseball player"
"1852","1931","American baseball player manager"
"1852","1935","English footballer and manager"
"1852","1929","Major League Baseball player"
"1852","1925","American baseball player"
"1852","1932","American baseball player"
"1852","1935","Major League Baseball player"
"1852","1936","American baseball player"
"1852","1934","Major League Baseball player"
"1852","1915","Major League Baseball player"
"1852","1937","Major League Baseball player"
"1852","1924","Major League Baseball player"
"1852","1896","Irish baseball player"
"1852","1916","American baseball player"
"1852","1914","Major League Baseball player manager"
"1852","1936","Baseball player"
"1852","1914","American baseball player"
"1852","1931","Major League Baseball player"
"1852","1912","Major League Baseball player"
"1852","1898","Major League Baseball third baseman"
"1852","1942","Scottish footballer"
"1852","1920","American baseball player"
"1852","1922","American baseball player"
"1852","1929","American baseball player"
"1852","1907","Professional baseball player"
"1852","1915","American baseball player"
"1852","1934","American baseball player"
"1852","1885","Major League Baseball player"
"1852","1887","Baseball player"
"1852","1928","American baseball player"
"1852","1917","American baseball player"
"1852","1929","American baseball player"
"1852","1922","Baseball player"
"1852","1892","American baseball player"
"1853","1929","Major League Baseball player"
"1853","1934","Major League Baseball player"
"1853","1891","Major League Baseball player"
"1853","1920","Professional baseball player"
"1853","1909","Major League Baseball player"
"1853","1935","American baseball player"
"1853","1947","English footballer"
"1853","1890","American baseball player"
"1853","1934","American baseball player"
"1853","1925","American baseball player"
"1853","1877","American baseball player"
"1853","1892","American baseball player"
"1853","1914","Major League Baseball player"
"1853","1925","Major League Baseball player"
"1853","1932","English footballer"
"1853","1902","American baseball player"
"1853","1916","American Major League Baseball catcher"
"1853","1931","Scottish footballer"
"1853","1888","American baseball player"
"1853","1933","American baseball player"
"1853","1929","American baseball player"
"1853","1940","American baseball player"
"1853","1898","Major League Baseball player"
"1853","1884","Irish baseball player"
"1853","1900","Major League Baseball player manager"
"1853","1894","American baseball player"
"1853","1928","American baseball player"
"1853","1928","American baseball player"
"1853","1932","Major League Baseball player manager"
"1853","1932","American baseball player"
"1853","1920","Major League Baseball player sporting goods dealer"
"1853","1926","Major League Baseball player manager"
"1853","1896","Major League Baseball manager"
